Wholebake Ltd
UIN Foods Limited
Shepley Spring Limited
Westcountry Spice Ltd
WD Meats
Smithy Mushrooms
Shepcote Distribution Ltd
Westland Horticulture - Driffield
Smart Office Connexion
YORK HOUSE FOODS
Westland Horticultural - Ellesmere
White's Bakery
Thomas Hardy Burtonwood Ltd
Welsh Pantry
Stonegate Farmers
Seabrook Crisps (Calbee Group UK)
Puratos (Liverpool)
Punjana (Thompson's Teas)
PJs Foods
Peters Food
Newberry International Produce Ltd
Natures Menu
Manor Farms
Lyons Seafoods
Kanes Foods
One Platinum (PTY) Ltd
JPAO
John Hurd's Organic Watercress
Harbourside Products
Evolution Foods Ltd
Infusion GB Ltd
Holland & Barrett (Benelux)
Holland & Barrett Retail Ltd
Hartleys Farm Foods Ltd
Elis UK
Forthglade Foods Limited
Heck Foods
Jennings Bakery Ltd
FEI Foods Limited
Flavour Fresh
Ingram Brothers
Gressingham Foods
Deli-Lites
DB Foods (Vantage Foods)
Dartmouth Foods
Dairy Partners
Cropwell Bishop Creamery
Corrboard UK
British Pepper and Spice Co
Bridge Farm Group
Breffni Mushrooms Marketing Ltd
AM Fresh UK
Alan Baybutt & Sons Ltd
Afrigrit
AF Blakemore (Fresh Foods)
Adlam Engineering (PTY) LTD
